Time,States
1.0134007080923766,3.0
1.0856952080503106,3.0
1.1837416660273448,3.0
1.2317976250778884,3.0
1.311650500050746,3.0
1.3815226660808548,3.0
1.434872875106521,3.0
1.4899225410772488,3.0
1.5424720000009984,3.0
1.6295501660788432,2.0
1.7058465830050409,2.0
1.7884641661075875,2.0
1.8526474580867216,2.0
1.90118591603823,2.0
1.9910117500694469,2.0
2.029578541056253,2.0
2.130273458082229,2.0
2.1899084580363706,2.0
2.255286166095175,2.0
2.3297153330640867,2.0
2.384682458010502,1.0
2.4355183750158176,1.0
2.4878689580364153,1.0
2.5478300410322845,1.0
2.6167689580470324,1.0
2.671153375064023,0.0
2.720871000085026,0.0
2.7903557911049575,0.0
2.8699710411019623,0.0
2.934637000085786,0.0
2.991811791085638,0.0
3.055783666088246,0.0
3.1223448750097305,1.0
3.174393541063182,1.0
3.235121666104533,1.0
3.299531333032064,1.0
3.3495615411084145,1.0
3.4362119580619037,1.0
3.5083635830087587,1.0
3.5809935830766335,1.0
3.626765208085999,2.0
3.670208250056021,2.0
3.7106106660794462,2.0
3.7828257910441607,2.0
3.8556927910540257,2.0
3.932839041110128,2.0
4.013637208030559,2.0
4.082171125104651,2.0
4.1221997500397265,2.0
4.195865291054361,2.0
4.2592816250398755,2.0
4.301342625054531,1.0
4.379978041048162,1.0
4.464634541072883,1.0
4.532633333001286,2.0
4.615034541115165,1.0
4.678916458040476,1.0
4.803594541037455,1.0
4.862613541074097,1.0
4.894753875094466,1.0
4.941442583105527,1.0
4.984012208064087,1.0
5.047093166038394,1.0
5.104272333090194,1.0
5.183015625108965,1.0
5.260484708007425,1.0
5.322225458105095,1.0
5.3746957500698045,1.0
5.43871904106345,1.0
5.5000287080183625,1.0
5.556276625022292,1.0
5.609492333023809,1.0
5.653769958065823,1.0
5.704935125075281,1.0
5.7623220410896465,1.0
5.80708829103969,1.0
5.91312133311294,2.0
6.038805875112303,2.0
6.1767985000042245,2.0
6.268793041002937,2.0
6.303132125060074,2.0
6.356943208025768,2.0
6.427904750104062,2.0
6.491357708000578,2.0
6.582860250025988,2.0
6.639277791022323,2.0
6.686814875109121,2.0
6.753277000039816,2.0
6.789630166022107,2.0
6.835450083017349,2.0
6.880648916005157,2.0
6.919047958101146,2.0
7.0035449580755085,2.0
7.070463291020133,2.0
7.173814083100297,2.0
7.228901958093047,2.0
7.286969583015889,2.0
7.368466500076465,2.0
7.418621541000903,2.0
7.494610875030048,2.0
7.591460041003302,2.0
7.660960833076388,2.0
7.737775458022952,2.0
7.817094000056386,2.0
7.874655208084732,2.0
7.950930208084173,2.0
8.026321375044063,2.0
8.103457041084766,2.0
8.19678587501403,2.0
